idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1517,75.85000000000001,-14.999999999993605,6.999999999270049,-6.000000000000012,1.3145040611561853e-11,-6.12850215020444e-09,0.0,-9.547918011776346e-10,1.7249597306090436e-07,0.0,0.0,70.0,255.0,255.0,255.0
1518,75.9,-14.999999999994198,6.999999999195849,-6.000000000000012,-4.900968519905291e-11,1.6463630458929401e-09,0.0,-1.3784529073745944e-09,1.1945227029741545e-07,0.0,0.0,70.0,255.0,255.0,255.0
1519,75.95,-14.999999999998506,6.999999999434685,-6.000000000000012,-1.2470025012589758e-10,5.816724879537105e-09,0.0,-1.3487877481566102e-09,4.519566942917663e-08,0.0,0.0,70.0,255.0,255.0,255.0
1520,76.0,-15.000000000006668,6.999999999777521,-6.000000000000012,-1.8388846001471393e-10,6.165929988810603e-09,0.0,-4.881428594671888e-10,-1.6358470134036907e-08,0.0,0.0,70.0,255.0,255.0,255.0
1521,76.05,-15.000000000016895,7.000000000051278,-6.000000000000012,-1.7351453607261647e-10,4.1808778661334145e-09,0.0,1.34807720542085e-09,-4.52381243576383e-08,0.0,0.0,70.0,255.0,255.0,255.0
1522,76.10000000000001,-15.00000000002402,7.000000000195609,-6.000000000000012,-4.908073947262892e-11,1.6421175530467735e-09,0.0,3.5631941841529624e-09,-4.62202720541427e-08,0.0,0.0,70.0,255.0,255.0,255.0
1523,76.15,-15.000000000021803,7.00000000021549,-6.000000000000012,1.8280488234267978e-10,-4.411493392808552e-10,0.0,5.144507042587065e-09,-3.200693043936553e-08,0.0,0.0,70.0,255.0,255.0,255.0
1524,76.2,-15.00000000000574,7.000000000151494,-6.000000000000012,4.653699647860776e-10,-1.5585754908897798e-09,0.0,5.03561636833183e-09,-1.2110135116927268e-08,0.0,0.0,70.0,255.0,255.0,255.0
1525,76.25,-14.999999999975266,7.000000000059632,-6.000000000000012,6.863665191758628e-10,-1.652162850973582e-09,0.0,1.8211210317531368e-09,4.383160501220118e-09,0.0,0.0,70.0,255.0,255.0,255.0
1526,76.3,-14.999999999937103,6.999999999986278,-6.000000000000012,6.474820679613913e-10,-1.120259440767768e-09,0.0,-5.030820204865449e-09,1.2121770254225339e-08,0.0,0.0,70.0,255.0,255.0,255.0
1527,76.35000000000001,-14.999999999910518,6.999999999947606,-6.000000000000012,1.8328449868931784e-10,-4.3998582555104804e-10,0.0,-1.3296741485646635e-08,1.2384582248614606e-08,0.0,0.0,70.0,255.0,255.0,255.0
1528,76.4,-14.999999999918774,6.999999999942279,-6.000000000000012,-6.821920806032722e-10,1.1819878409369267e-10,0.0,-1.9201706891180947e-08,8.57589554925653e-09,0.0,0.0,70.0,255.0,255.0,255.0
1529,76.45,-14.999999999978737,6.999999999959426,-6.000000000000012,-1.736886190428777e-09,4.176037293746049e-10,0.0,-1.879332245380283e-08,3.2448710385324375e-09,0.0,0.0,70.0,255.0,255.0,255.0
1530,76.5,-15.000000000092463,6.999999999984039,-6.000000000000012,-2.561524325983555e-09,4.426858879469364e-10,0.0,-6.795808360493538e-09,-1.1741718708435656e-09,0.0,0.0,70.0,255.0,255.0,255.0
1531,76.55,-15.00000000023489,7.000000000003695,-6.000000000000012,-2.4164670264781307e-09,3.0018654229024833e-10,0.0,1.8776091792460647e-08,-3.247802027317448e-09,0.0,0.0,70.0,255.0,255.0,255.0
1532,76.60000000000001,-15.00000000033411,7.000000000014058,-6.000000000000012,-6.839151467374904e-10,1.1790568521519162e-10,0.0,4.962448230116934e-08,-3.318589847367548e-09,0.0,0.0,70.0,255.0,255.0,255.0
1533,76.65,-15.000000000303281,7.000000000015485,-6.000000000000012,2.545981203638803e-09,-3.1672442446506466e-11,0.0,7.165947835119368e-08,-2.298072843132104e-09,0.0,0.0,70.0,255.0,255.0,255.0
1534,76.7,-15.000000000079512,7.000000000010891,-6.000000000000012,6.482032688381878e-09,-1.1190159909801878e-10,0.0,7.013731817551161e-08,-8.694378550444526e-10,0.0,0.0,70.0,255.0,255.0,255.0
1535,76.75,-14.999999999655078,7.000000000004295,-6.000000000000012,9.559713021189964e-09,-1.1861622795095172e-10,0.0,2.5362822952956776e-08,3.1468161409975437e-10,0.0,0.0,70.0,255.0,255.0,255.0
1536,76.80000000000001,-14.99999999912354,6.999999999999029,-6.000000000000012,9.018314983677556e-09,-8.043343768804334e-11,0.0,-7.007194824382168e-08,8.702372156221827e-10,0.0,0.0,70.0,255.0,255.0,255.0
1537,76.85000000000001,-14.999999998753246,6.999999999996252,-6.000000000000012,2.552518196807796e-09,-3.1592506388733455e-11,0.0,-1.8520012190492707e-07,8.892442338037654e-10,0.0,0.0,70.0,255.0,255.0,255.0
1538,76.9,-14.999999998868288,6.99999999999587,-6.000000000000012,-9.501697206815152e-09,8.490985692333197e-12,0.0,-2.67438515777485e-07,6.157740983780968e-10,0.0,0.0,70.0,255.0,255.0,255.0
1539,76.95,-14.999999999703416,6.999999999997101,-6.000000000000012,-2.4191333380940705e-08,2.998490344907623e-11,0.0,-2.6175523970550785e-07,2.3288038164537284e-10,0.0,0.0,70.0,255.0,255.0,255.0
1540,77.0,-15.000000001287422,6.9999999999988685,-6.000000000000012,-3.5677221177365936e-08,3.177902385687048e-11,0.0,-9.465424000154599e-08,-8.43769498715119e-11,0.0,0.0,70.0,255.0,255.0,255.0
1541,77.05000000000001,-15.000000003271138,7.000000000000279,-6.000000000000012,-3.3656757381095304e-08,2.1547208461925038e-11,0.0,2.6151028009735455e-07,-2.3305801732931286e-10,0.0,0.0,70.0,255.0,255.0,255.0
1542,77.10000000000001,-15.000000004653097,7.000000000001023,-6.000000000000012,-9.526193167630481e-09,8.473222123939195e-12,0.0,6.911747618687514e-07,-2.382094521635736e-10,0.0,0.0,70.0,255.0,255.0,255.0
1543,77.15,-15.000000004223757,7.000000000001126,-6.000000000000012,3.5460718805779834e-08,-2.2737367544323206e-12,0.0,9.9809565057285e-07,-1.6502355038028327e-10,0.0,0.0,70.0,255.0,255.0,255.0
1544,77.2,-15.000000001107026,7.000000000000796,-6.000000000000012,9.028337188965452e-08,-8.029132914089132e-12,0.0,9.768852393676752e-07,-6.235012506294879e-11,0.0,0.0,70.0,255.0,255.0,255.0
1545,77.25,-14.99999999519542,7.000000000000323,-6.000000000000012,1.3314924274254736e-07,-8.5087492607272e-12,0.0,3.5325307123912353e-07,2.2382096176443156e-11,0.0,0.0,70.0,255.0,255.0,255.0
1546,77.30000000000001,-14.999999987792101,6.999999999999945,-6.000000000000012,1.2560867901356687e-07,-5.7909232964448165e-12,0.0,-9.759698826883323e-07,6.235012506294879e-11,0.0,0.0,70.0,255.0,255.0,255.0
1547,77.35000000000001,-14.999999982634552,6.999999999999744,-6.000000000000012,3.555225447371413e-08,-2.2737367544323206e-12,0.0,-2.5794987479343945e-06,6.412648190234904e-11,0.0,0.0,70.0,255.0,255.0,255.0
1548,77.4,-14.999999984236876,6.999999999999718,-6.000000000000012,-1.3234119577987258e-07,6.217248937900877e-13,0.0,-3.7249430206998113e-06,4.4231285301066237e-11,0.0,0.0,70.0,255.0,255.0,255.0
1549,77.45,-14.999999995868672,6.999999999999806,-6.000000000000012,-3.36942047596267e-07,2.149391775674303e-12,0.0,-3.645786428307929e-06,1.6608936448392342e-11,0.0,0.0,70.0,255.0,255.0,255.0
1550,77.5,-15.00000001793108,6.9999999999999325,-6.000000000000012,-4.969198386106655e-07,2.282618538629322e-12,0.0,-1.3183594660404196e-06,-6.0396132539608516e-12,0.0,0.0,70.0,255.0,255.0,255.0
1551,77.55000000000001,-15.000000045560656,7.000000000000035,-6.000000000000012,-4.6877799420030897e-07,1.545430450278218e-12,0.0,3.64237084937713e-06,-1.687538997430238e-11,0.0,0.0,70.0,255.0,255.0,255.0
1552,77.60000000000001,-15.00000006480888,7.000000000000087,-6.000000000000012,-1.3268275367295246e-07,5.950795411990839e-13,0.0,9.626820229868827e-06,-1.7053025658242404e-11,0.0,0.0,70.0,255.0,255.0,255.0
1553,77.65,-15.000000058828931,7.000000000000094,-6.000000000000012,4.939040287865737e-07,-1.5987211554602254e-13,0.0,1.3901676787497763e-05,-1.163513729807164e-11,0.0,0.0,70.0,255.0,255.0,255.0
1554,77.7,-15.000000015418477,7.000000000000071,-6.000000000000012,1.2574849250768239e-06,-5.684341886080801e-13,0.0,1.3606261006771092e-05,-4.529709940470639e-12,0.0,0.0,70.0,255.0,255.0,255.0
1555,77.75,-14.999999933080439,7.000000000000037,-6.000000000000012,1.854530129463683e-06,-6.128431095930864e-13,0.0,4.920183016565716e-06,1.4210854715202004e-12,0.0,0.0,70.0,255.0,255.0,255.0
1556,77.80000000000001,-14.999999829965464,7.00000000000001,-6.000000000000012,1.7495032267333954e-06,-4.263256414560601e-13,0.0,-1.3593514402998608e-05,4.618527782440651e-12,0.0,0.0,70.0,255.0,255.0,255.0
1557,77.85000000000001,-14.999999758130116,6.999999999999995,-6.000000000000012,4.951786891638221e-07,-1.509903313490213e-13,0.0,-3.592778199390523e-05,4.973799150320701e-12,0.0,0.0,70.0,255.0,255.0,255.0
1558,77.9,-14.999999780447595,6.999999999999995,-6.000000000000012,-1.8432749726571274e-06,7.105427357601002e-14,0.0,-5.18817623529344e-05,3.1086244689504383e-12,0.0,0.0,70.0,255.0,255.0,255.0
1559,77.95,-14.999999942457613,7.000000000000002,-6.000000000000012,-4.692997546129618e-06,1.5987211554602254e-13,0.0,-5.0779257421140755e-05,7.105427357601002e-13,0.0,0.0,70.0,255.0,255.0,255.0
1560,78.0,-15.00000024974735,7.000000000000011,-6.000000000000012,-6.921200714771203e-06,1.4210854715202004e-13,0.0,-1.8362374376579282e-05,-7.105427357601002e-13,0.0,0.0,70.0,255.0,255.0,255.0
1561,78.05000000000001,-15.000000634577685,7.000000000000016,-6.000000000000012,-6.529234983787546e-06,8.881784197001252e-14,0.0,5.07316867626173e-05,-8.881784197001252e-13,0.0,0.0,70.0,255.0,255.0,255.0
1562,78.10000000000001,-15.000000902670848,7.0000000000000195,-6.000000000000012,-1.8480320385094728e-06,5.3290705182007514e-14,0.0,0.00013408430810102345,-8.881784197001252e-13,0.0,0.0,70.0,255.0,255.0,255.0
